idbuildings,building_name,composition,additional_comp,architectural_element,AE_type,element_type,add_comp_quant,comp_quant,elem_total,year_add,materials_all,material_type,material_technique,moulding_type,location,region
0,"Bevis Marks Synagogue",e0a,entrance_elem,"door frame",flat-headed,"door frame: flat-headed",NULL,1,1,1701,NULL,NULL,NULL,NULL,"London, England","Western Europe"
0,"Bevis Marks Synagogue",e0a,entrance_elem,architrave,simple,"architrave: simple",NULL,1,1,1701,"portland stone",masonry,moulded,"double indent","London, England","Western Europe"
0,"Bevis Marks Synagogue",e0a,entrance_elem,console,scrolled,"console: scrolled",NULL,2,2,1701,"portland stone",masonry,moulded,NULL,"London, England","Western Europe"
0,"Bevis Marks Synagogue",e0a,entrance_elem,plinth,square,"plinth: square",NULL,1,1,1701,"portland stone",masonry,moulded,NULL,"London, England","Western Europe"
0,"Bevis Marks Synagogue",e0a,entrance_elem,pediment,segmental,"pediment: segmental",NULL,1,1,1701,"portland stone",masonry,moulded,NULL,"London, England","Western Europe"
0,"Bevis Marks Synagogue",e0a,entrance_elem,tympanum,panelled,"tympanum: panelled",NULL,1,1,1701,"portland stone",masonry,moulded,NULL,"London, England","Western Europe"
0,"Bevis Marks Synagogue",e0a,entrance_elem,door,"double panelled","door: double panelled",NULL,1,1,1701,oak,wood,NULL,NULL,"London, England","Western Europe"
0,"Bevis Marks Synagogue",e0a,entrance_elem,cornice,"element cap cornice","cornice: element cap cornice",NULL,1,1,1701,"portland stone",masonry,moulded,NULL,"London, England","Western Europe"
0,"Bevis Marks Synagogue",e0a,entrance_elem,keystone,panelled,"keystone: panelled",NULL,1,1,1701,"portland stone",masonry,NULL,NULL,"London, England","Western Europe"
4,"Esnoga, Talmud Torah II",e4a,entrance_elem,"door frame",flat-headed,"door frame: flat-headed",NULL,1,1,1675,NULL,NULL,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
4,"Esnoga, Talmud Torah II",e4a,entrance_elem,architrave,simple,"architrave: simple",NULL,1,1,1675,sandstone,masonry,rustication,NULL,"Amsterdam, Netherlands","Western Europe"
4,"Esnoga, Talmud Torah II",e4a,entrance_elem,plinth,square,"plinth: square",NULL,1,1,1675,sandstone,masonry,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
4,"Esnoga, Talmud Torah II",e4a,entrance_elem,capital,tuscan,"capital: tuscan",NULL,2,2,1675,sandstone,masonry,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
4,"Esnoga, Talmud Torah II",e4a,entrance_elem,"column shaft",smooth,"column shaft: smooth",NULL,2,2,1675,sandstone,masonry,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
4,"Esnoga, Talmud Torah II",e4a,entrance_elem,base,attic,"base: attic",NULL,2,2,1675,sandstone,masonry,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
4,"Esnoga, Talmud Torah II",e4a,entrance_elem,cornice,"classical cornice","cornice: classical cornice",NULL,1,1,1675,sandstone,masonry,moulded,"three indent","Amsterdam, Netherlands","Western Europe"
