building_name,facade_number,comp_type,comp_num,architectural_element,AE_type,materials_all,material_technique,moulding_type,level,year_add,orig,comp_quant,TS_quant,elem_total,location,region
Berakha ve Shalom Synagogue,f17n,esc,e17a,door,,NULL,NULL,NULL,1,1685,TRUE,1,1,1,"Jodensavanne, Suriname",South America
Berakha ve Shalom Synagogue,f17s,esc,e17a,door,,NULL,NULL,NULL,1,1685,TRUE,1,1,1,"Jodensavanne, Suriname",South America
Berakha ve Shalom Synagogue,f17w,esc,e17b,door,,NULL,NULL,NULL,1,1685,TRUE,1,2,2,"Jodensavanne, Suriname",South America
Berakha ve Shalom Synagogue,f17n,esc,e17a,door frame,flat-headed,NULL,NULL,NULL,1,1685,TRUE,1,1,1,"Jodensavanne, Suriname",South America
Berakha ve Shalom Synagogue,f17s,esc,e17a,door frame,flat-headed,NULL,NULL,NULL,1,1685,TRUE,1,1,1,"Jodensavanne, Suriname",South America
Berakha ve Shalom Synagogue,f17w,esc,e17b,door frame,flat-headed,NULL,NULL,NULL,1,1685,TRUE,1,2,2,"Jodensavanne, Suriname",South America
Berakha ve Shalom Synagogue,f17w,rlc,r17a,roof,Dutch gable,red brick,NULL,NULL,2,1685,TRUE,1,1,1,"Jodensavanne, Suriname",South America
Berakha ve Shalom Synagogue,f17e,rlc,r17a,roof,Dutch gable,red brick,NULL,NULL,2,1685,TRUE,1,1,1,"Jodensavanne, Suriname",South America
Berakha ve Shalom Synagogue,f17w,wsc,w17a,shutter,,NULL,NULL,NULL,1,1685,TRUE,1,2,2,"Jodensavanne, Suriname",South America
Berakha ve Shalom Synagogue,f17n,esc,e17a,stoop,semicircle steps,red brick,NULL,NULL,1,1685,TRUE,1,1,1,"Jodensavanne, Suriname",South America
Berakha ve Shalom Synagogue,f17s,esc,e17a,stoop,semicircle steps,red brick,NULL,NULL,1,1685,TRUE,1,1,1,"Jodensavanne, Suriname",South America
Berakha ve Shalom Synagogue,f17n,fac_elem,fac_elem,wall,,red brick,NULL,NULL,NULL,1685,TRUE,1,1,1,"Jodensavanne, Suriname",South America
Berakha ve Shalom Synagogue,f17s,fac_elem,fac_elem,wall,,red brick,NULL,NULL,NULL,1685,TRUE,1,1,1,"Jodensavanne, Suriname",South America
Berakha ve Shalom Synagogue,f17w,fac_elem,fac_elem,wall,,red brick,NULL,NULL,NULL,1685,TRUE,1,1,1,"Jodensavanne, Suriname",South America
