idbuildings,building_name,year_opened,composition,additional_comp,filter_on,architectural_element,AE_type,element_type,comp_quant,year_added,idlocation,location,lat,longitude,idcitation,cit_short,pg
0,"Bevis Marks Synagogue",1701,p0a,plan_elem,plan,footprint,"rectangular basilica","footprint: rectangular basilica",1,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,p0a,plan_elem,plan,gallery,"two long plus one short","gallery: two long plus one short",1,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,p0a,plan_elem,plan,"axis of symmetry","longtitudinal axis","axis of symmetry: longtitudinal axis",1,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,p0a,plan_elem,plan,"plan_bay types",A_B_B_B_B_A,"plan_bay types: A_B_B_B_B_A",1,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,p4a,plan_elem,plan,footprint,"rectangular basilica","footprint: rectangular basilica",1,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,p4a,plan_elem,plan,gallery,"two long","gallery: two long",1,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,p4a,plan_elem,plan,"axis of symmetry","longtitudinal axis","axis of symmetry: longtitudinal axis",1,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,p4a,plan_elem,plan,"plan_bay types",A_B_B_B_B_B_A,"plan_bay types: A_B_B_B_B_B_A",1,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
17,"Berakha ve Shalom Synagogue",1685,p17a,plan_elem,plan,"axis of symmetry","longtitudinal axis","axis of symmetry: longtitudinal axis",1,1685,10,"Jodensavanne, Suriname",5.429176,-54.984273,NULL,NULL,NULL
17,"Berakha ve Shalom Synagogue",1685,p17a,plan_elem,plan,footprint,"rectangular basilica","footprint: rectangular basilica",1,1685,10,"Jodensavanne, Suriname",5.429176,-54.984273,NULL,NULL,NULL
17,"Berakha ve Shalom Synagogue",1685,p17a,plan_elem,plan,gallery,"one short","gallery: one short",1,1685,10,"Jodensavanne, Suriname",5.429176,-54.984273,NULL,NULL,NULL
17,"Berakha ve Shalom Synagogue",1685,p17a,plan_elem,plan,"plan_bay types",A_B_B_B_B_B_B,"plan_bay types: A_B_B_B_B_B_B",1,1685,10,"Jodensavanne, Suriname",5.429176,-54.984273,NULL,NULL,NULL
