idcongregation,congregation_name,translation,year_est,rite,lat,longitude,city,country,region,idcitation,pg,notes
2,Neveh Shalom,Abode of Peace,1608,sephardic,52.3702157,4.8951679,Amsterdam,Netherlands,Western Europe,NULL,NULL,NULL
46,High German Congregation,NULL,1635,ashkenazi,52.3702157,4.8951679,Amsterdam,Netherlands,Western Europe,85,20,Amsterdam Ashkenazi congregation founded
1,Beth Jacob,House of Jacob,1602,sephardic,52.3702157,4.8951679,Amsterdam,Netherlands,Western Europe,NULL,NULL,NULL
4,Talmud Torah,Study of the Torah,1638,sephardic,52.3702157,4.8951679,Amsterdam,Netherlands,Western Europe,NULL,NULL,NULL
3,Beth Israel,House of Israel,1618,sephardic,52.3702157,4.8951679,Amsterdam,Netherlands,Western Europe,NULL,NULL,NULL
43,Congregation of the Great Synagogue,NULL,1690,ashkenazi,51.5073509,-0.1277583,London,England,Western Europe,72,NULL,"congregation of Great Synagogue, Dukes Place"
45,Congregation of the New Synagogue,NULL,1761,ashkenazi,51.5073509,-0.1277583,London,England,Western Europe,73,44,"first, ""The Society of Bricklayers' Hall"""
14,Kahal Kadosh Sha'ar Hashamayim,Gates of Heaven,1656,sephardic,51.5073509,-0.1277583,London,England,Western Europe,NULL,NULL,Bevis Marks
44,Congregation of the Hambro Synagogue,NULL,1707,ashkenazi,51.5073509,-0.1277583,London,England,Western Europe,73,39,NULL
31,Shearith Israel,Remnant of Israel,1768,sephardic,45.5016889,-73.567256,Montreal,Canada,North America,8,152,Followed Sephardic minhag for benefits in their jewish merchantile relations
25,Nephuse Israel,Scattered of Israel,1658,sephardic,41.4901024,-71.3128285,Newport,United States,North America,NULL,NULL,NULL
24,Jeshuat Israel,Salvation of Israel,1758,sephardic,41.4901024,-71.3128285,Newport,United States,North America,NULL,NULL,Touro Synagogue
19,Shearith Israel,Remnant of Israel,1654,sephardic,40.7127753,-74.0059728,New York,United States,North America,NULL,NULL,NULL
28,Rodeph Shalom,NULL,1795,ashkenazi,39.9525839,-75.1652215,Philadelphia,United States,North America,NULL,NULL,NULL
26,Mikveh Israel,Hope of Israel,1740,sephardic,39.9525839,-75.1652215,Philadelphia,United States,North America,NULL,NULL,date of Spruce St cemetery
41,Beth Shalome,House of Peace,1789,sephardic,37.5407246,-77.4360481,Richmond,United States,North America,0,,www.bethahabah.org/heritage/history/
23,Shaar Hashamayim,Gates of Heaven,1749,sephardic,36.140751,-5.353585,Gibraltar,United Kingdom,Southern Europe,NULL,NULL,NULL
39,Nefusot Yehuda,Dispersed of Judah,1799,sephardic,36.140751,-5.353585,Gibraltar,United Kingdom,Southern Europe,8,267,NULL
35,Etz Chaim,Tree of Life,1759,sephardic,36.140751,-5.353585,Gibraltar,United Kingdom,Southern Europe,8,147,"unclear if yeshiva, congregation, or both"
