donor,donor_type,donor_id_loc,donor_loc_name,donor_lat,donor_lon,recipient_id,recipient_name,recipient_type,recipient_congregation,recipient_id_loc,recipient_loc_name,recipient_lat,recipient_lon,contr_type,RE_type,contr_year,contr_amt,curr_type,contr_honors,citation,pg
"Lewis Moses Gomez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,15,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Moses Raphael Levy",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,10,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Jacob Franks",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,25,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Daniel Gomez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,15,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Benjamin Mendes Pacheco",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,15.01.06,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Mordecai Gomez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,20,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Baruch Judah of Breslau",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,7,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Abraham Isaacs",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,7,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Joseph Nunez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,10,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Jacob Hays",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,8,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Isaac de Medina",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,5,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Daniel Nunes da Costa",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,5,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Jacob Louzada",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,4,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Rachell aLevy",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,3,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Rachel Naphtali",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,0.10,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Moses Hart",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,2,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"R Benjamin Bar R Jochanan",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Eliezer bar Jehudah",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,2,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Joseph Isaacs",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,1.10,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Selomoe bar Meyr",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,1.10,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Valentine Campanal",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Joseph Simson",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,2,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Moses Michaels",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,10,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Abraham Rodriquez de Rivera",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,8,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
