idlocation,city,state,country,year,calc_total,total_jews,seph,ashk,fam_jewish,fam_seph,fam_ashk,total_pop,white_pop,free_black_jews,enslaved_jews,enslaved_total,plantations_jews,plantations_total,notes,region,lat,longitude,idcitation,cit_pgs
1,Amsterdam,NULL,Netherlands,1610,350,,350,,,,,,,,,,,,,Western Europe,52.3702157,4.8951679,85,19
1,Amsterdam,NULL,Netherlands,1620,1000,,1000,,,,,,,,,,,,,Western Europe,52.3702157,4.8951679,"Israel, economic contri",513
1,Amsterdam,NULL,Netherlands,1622,0,,,,,,,105000,,,,,,,,Western Europe,52.3702157,4.8951679,"Israel, The Dutch Republic",380
1,Amsterdam,NULL,Netherlands,1630,900,,900,,,,,,,,,,,,,Western Europe,52.3702157,4.8951679,85,19
58,Brazil,Pernambuco,Brazil,1645,1450,1450,,,,,,,2900,,,,,,jewish pop comparable to Amsterdam same time,South America,-8.333333,-37.8,8,108
58,Brazil,Pernambuco,Brazil,1645,0,,,,,,,,,,,,10,166,,South America,-8.333333,-37.8,19,98
2,Recife,Pernambuco,Brazil,1649,350,350,,,,,,,,,,,,,,South America,-8.054074,-34.8708494,Klloster 2006,136
1,Amsterdam,NULL,Netherlands,1650,1400,,1400,,,,,,,,,,,,,Western Europe,52.3702157,4.8951679,85,19
2,Recife,Pernambuco,Brazil,1654,600,600,,,,,,,,,,,,,,South America,-8.054074,-34.8708494,9,28
24,New York,New York,United States,1654,24,24,,,,,,800,,,,,,,,North America,40.7127753,-74.0059728,23,467
1,Amsterdam,NULL,Netherlands,1658,3000,,3000,,,,,,,,,,,,,Western Europe,52.3702157,4.8951679,"Israel, economic contri",505
6,Willemstad,NULL,Curacao,1659,70,70,,,,,,,,,,,,,group that joined Isaac Da Costa in founding 6 community,Caribbean,12.1047416,-68.9326698,22,46
24,New York,New York,United States,1664,0,,,,,,,1500,,,,,,,,North America,40.7127753,-74.0059728,23,32
42,Suriname,NULL,Suriname,1665,20,20,,,,,,,2000,,,,,,"pre-1666, 20-30 jews",South America,5,-56,19,99
1,Amsterdam,NULL,Netherlands,1675,2500,,2500,,,,,,,,,,,,,Western Europe,52.3702157,4.8951679,85,19
