idlocation,city,state,country,year,calc_total,total,total_jews,seph_num,seph,ashk_num,ashk,fam_jewish,fam_seph,fam_ashk,total_pop,white_pop,free_black_jews,enslaved_jews,enslaved_total,plantations_jews,plantations_total,notes,region,lat,longitude,cit_short,cit_pgs
44,Barbados,NULL,Barbados,1675,200,200,200,0,,0,,,,,,,,,,,,1675-80,Caribbean,13.17,-59.5525,"Böhm, 1988",11
44,Barbados,NULL,Barbados,1679,300,300,300,0,,0,,,,,,,,,,,,,Caribbean,13.17,-59.5525,NULL,
44,Barbados,NULL,Barbados,1680,260,260,260,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Caribbean,13.17,-59.5525,"Faber, 1998",46
44,Barbados,NULL,Barbados,1683,0,0,,0,,0,,,,,66170,19568,,,46602,,,,Caribbean,13.17,-59.5525,"Terrell, 2005",160
44,Barbados,NULL,Barbados,1715,230,230,230,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Caribbean,13.17,-59.5525,"Faber, 1998",91
4,Bridgetown,NULL,Barbados,1729,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,402,46362,NULL,NULL,NULL,Caribbean,13.0968511,-59.6144819,"Faber, 1998",101
44,Barbados,NULL,Barbados,1755,800,800,800,0,,0,,,,,,,,,,,,,Caribbean,13.17,-59.5525,NULL,
44,Barbados,NULL,Barbados,1790,60,60,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Caribbean,13.17,-59.5525,"Faber, 1998",91
44,Barbados,NULL,Barbados,1800,80,80,80,0,,0,,,,,,,,,,,,fewer than 100,Caribbean,13.17,-59.5525,"Gallery, 2016",105
58,Brazil,Pernambuco,Brazil,1645,1450,1450,1450,0,,0,,,,,,2900,,,,,,jewish pop comparable to Amsterdam same time,South America,-8.333333,-37.8,"Stiefel, 2014",108
58,Brazil,Pernambuco,Brazil,1645,0,0,,0,,0,,,,,,,,,,10,166,,South America,-8.333333,-37.8,"Kaplan, 2010",98
2,Recife,Pernambuco,Brazil,1649,350,350,350,0,,0,,,,,,,,,,,,,South America,-8.054074,-34.8708494,NULL,136
2,Recife,Pernambuco,Brazil,1654,600,600,600,0,,0,,,,,,,,,,,,,South America,-8.054074,-34.8708494,"Terrell, 2005",28
6,Willemstad,NULL,Curacao,1659,70,70,70,0,,0,,,,,,,,,,,,group that joined Isaac Da Costa in founding 6 community,Caribbean,12.1047416,-68.9326698,"Emmanuel and Emmanuel, 1970",46
6,Willemstad,NULL,Curacao,1700,500,500,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mirvis, 2015",Caribbean,12.1047416,-68.9326698,NULL,NULL
6,Willemstad,NULL,Curacao,1702,0,0,,0,,0,,,101,,,,,,,,,,Caribbean,12.1047416,-68.9326698,"Böhm, 1988",12
6,Willemstad,NULL,Curacao,1702,280,0,,280,280,0,,,126,,,,,,,,,"number of familes from 101 familes taxpayers, another 25 whose modest earings non-taxable",Caribbean,12.1047416,-68.9326698,"Emmanuel and Emmanuel, 1970",93
6,Willemstad,NULL,Curacao,1729,0,0,half white population,0,,0,,,,,,,,,,,,,Caribbean,12.1047416,-68.9326698,NULL,
6,Willemstad,NULL,Curacao,1745,0,0,,0,,0,,,270,,,,,,,,,,Caribbean,12.1047416,-68.9326698,"Emmanuel and Emmanuel, 1970",180
