idpeople,surname,first,name,studied_under,title,idcongregation,year_est,congregation_name,rite,year_start,year_end,source_location,sourceX,sourceY,source_region,target_location,targetX,targetY,target_region,people_notes,rabbi_notes,cit_short,pg
21,Lopez,Eliau,Eliau Lopez,22,,,,,,,,,,,,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Hakham, Nidhe Israel, Barbados, appoint. 1678, student of Isaac Aboab de Fonseca, studied in Amsterdam",,,
21,Lopez,Eliau,Eliau Lopez,22,,7,1654,Nidhe Israel,sephardic,1678,1693,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Bridgetown, Barbados",13.0968511,-59.6144819,Caribbean,"Hakham, Nidhe Israel, Barbados, appoint. 1678, student of Isaac Aboab de Fonseca, studied in Amsterdam",1st in barbados,,
21,Lopez,Eliau,Eliau Lopez,,,9,1651,Mikve Israel,sephardic,1693,1713,"Bridgetown, Barbados",13.0968511,-59.6144819,Caribbean,"Willemstad, Curacao",12.1047416,-68.9326698,Caribbean,"Hakham, Nidhe Israel, Barbados, appoint. 1678, student of Isaac Aboab de Fonseca, studied in Amsterdam",served until death,,
22,Fonseca,Isaac Aboab de,Isaac Aboab de Fonseca,50,,,,,,,,,,,,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Recife Rabbi 1642, Amsterdam 1612, hakahm Beth Israel Amsterdam 1623",,,
22,Fonseca,Isaac Aboab de,Isaac Aboab de Fonseca,,,3,1618,Beth Israel,sephardic,1626,1638,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Recife Rabbi 1642, Amsterdam 1612, hakahm Beth Israel Amsterdam 1623",,,
22,Fonseca,Isaac Aboab de,Isaac Aboab de Fonseca,,,4,1638,Talmud Torah,sephardic,1638,1642,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Recife Rabbi 1642, Amsterdam 1612, hakahm Beth Israel Amsterdam 1623",left for recife,,
22,Fonseca,Isaac Aboab de,Isaac Aboab de Fonseca,,,5,1637,Zur Israel,sephardic,1642,1654,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Recife, Brazil",-8.054074,-34.8708494,South America,"Recife Rabbi 1642, Amsterdam 1612, hakahm Beth Israel Amsterdam 1623",,,
22,Fonseca,Isaac Aboab de,Isaac Aboab de Fonseca,,,4,1638,Talmud Torah,sephardic,1654,1693,"Recife, Brazil",-8.054074,-34.8708494,South America,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Recife Rabbi 1642, Amsterdam 1612, hakahm Beth Israel Amsterdam 1623",returned from recife,,
24,Belinfante,Meir Cohen,Meir Cohen Belinfante,,,,,,,,1742,,,,,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Ottoman Sephardic family, leader of Barbados congregation","Gravestone at Nidhe Israel Cemetery. Highly ornate, inscribed in Hebrew, Portuguese, and English. Iconography shows roles he held in congregation: shofar blower, scribe, ritual circumciser, Kohen. Came from prominent family from Ottoman Empire, settled in","Gallery, 2016",116
24,Belinfante,Meir Cohen,Meir Cohen Belinfante,,,7,1654,Nidhe Israel,sephardic,1742,1752,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Bridgetown, Barbados",13.0968511,-59.6144819,Caribbean,"Ottoman Sephardic family, leader of Barbados congregation",,,
25,Carigal,Haim Isaac,Haim Isaac Carigal,,Emissary,,,,,,1750,,,,,"Hebron, Ottoman Empire",31.533333,35.095,Middle East,"Traveling Hebron emissary, buried in Bridgetown Barbados. Wrote with Ezra Stiles, Newport community",Ordained at 17,,
25,Carigal,Haim Isaac,Haim Isaac Carigal,,Emissary,,,,,1754,1756,"Hebron, Ottoman Empire",31.533333,35.095,Middle East,"Constantinople, Ottoman Empire",41.013889,28.955556,Middle East,"Traveling Hebron emissary, buried in Bridgetown Barbados. Wrote with Ezra Stiles, Newport community","Constantinople, also Egypt, Izmir, Istanbul, Adrianople, Salonika, Aleppo, and Damascus","Mirvis, 2018",
25,Carigal,Haim Isaac,Haim Isaac Carigal,,Emissary,,,,,1757,1757,"Constantinople, Ottoman Empire",41.013889,28.955556,Middle East,"Livorno, Italy",43.55,10.316667,Western Europe,"Traveling Hebron emissary, buried in Bridgetown Barbados. Wrote with Ezra Stiles, Newport community","Second mission, Went to Europe, Livorno","Mirvis, 2018",
25,Carigal,Haim Isaac,Haim Isaac Carigal,,Emissary,,,,,1757,1758,"Livorno, Italy",43.55,10.316667,Western Europe,"Hamburg, Germany",53.551085,9.993682,Western Europe,"Traveling Hebron emissary, buried in Bridgetown Barbados. Wrote with Ezra Stiles, Newport community",Italy to Germany,"Mirvis, 2018",
25,Carigal,Haim Isaac,Haim Isaac Carigal,,Emissary,4,1638,Talmud Torah,sephardic,1758,1758,"Hamburg, Germany",53.551085,9.993682,Western Europe,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Traveling Hebron emissary, buried in Bridgetown Barbados. Wrote with Ezra Stiles, Newport community",Amstedam,"Mirvis, 2018",
25,Carigal,Haim Isaac,Haim Isaac Carigal,,Emissary,14,1656,Sha'ar Hashamayim,sephardic,1758,1759,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"London, England",51.5073509,-0.1277583,Western Europe,"Traveling Hebron emissary, buried in Bridgetown Barbados. Wrote with Ezra Stiles, Newport community",London,"Mirvis, 2018",
25,Carigal,Haim Isaac,Haim Isaac Carigal,,haham,9,1651,Mikve Israel,sephardic,1762,1763,"London, England",51.5073509,-0.1277583,Western Europe,"Willemstad, Curacao",12.1047416,-68.9326698,Caribbean,"Traveling Hebron emissary, buried in Bridgetown Barbados. Wrote with Ezra Stiles, Newport community","rabbi-teacher in Curacao, temporary haham between permanent hires; left on ship for Holland May 1764","Emmanuel and Emmanuel, 1970",249
25,Carigal,Haim Isaac,Haim Isaac Carigal,,Emissary,,,,,1763,1767,"Willemstad, Curacao",12.1047416,-68.9326698,Caribbean,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Traveling Hebron emissary, buried in Bridgetown Barbados. Wrote with Ezra Stiles, Newport community","Carigal left Curacao for Holland on ship, Leyd Star, in late May 1764. Parnassim paid captain Jan Lindeboom Ps. 100 on May 22 1764 for fare and bagge expenses ""of the professor calles Isaac Carigaal and his two servantsâ€¦to Tessel.""","Emmanuel and Emmanuel, 1970",249
25,Carigal,Haim Isaac,Haim Isaac Carigal,,Emissary,,,,,1767,1767,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Hebron, Ottoman Empire",31.533333,35.095,Middle East,"Traveling Hebron emissary, buried in Bridgetown Barbados. Wrote with Ezra Stiles, Newport community",returned to Hebron,"Mirvis, 2018",
25,Carigal,Haim Isaac,Haim Isaac Carigal,,Emissary,14,1656,Sha'ar Hashamayim,sephardic,1768,1771,"Hebron, Ottoman Empire",31.533333,35.095,Middle East,"London, England",51.5073509,-0.1277583,Western Europe,"Traveling Hebron emissary, buried in Bridgetown Barbados. Wrote with Ezra Stiles, Newport community","London, according to his statements, he was teacher at Bet ha-Midrash, salary 100 pounds sterling per annum",,
25,Carigal,Haim Isaac,Haim Isaac Carigal,,Emissary,16,1693,Shaar Ha Shamaim,sephardic,1771,1772,"London, England",51.5073509,-0.1277583,Western Europe,"Kingston, Jamaica",18.0178743,-76.8099041,Caribbean,"Traveling Hebron emissary, buried in Bridgetown Barbados. Wrote with Ezra Stiles, Newport community","visiting Jamaica, one year","Mirvis, 2018",
