idpeople,name,studied_under,source_location,sourceX,sourceY,target_location,targetX,targetY,year_start,year_end,congregation_name,title
21,Eliau Lopez,22,"Amsterdam, Netherlands",52.370216,4.895168,"Bridgetown, Barbados",13.096851,-59.614482,1678,1693,Nidhe Israel,
21,Eliau Lopez,,"Bridgetown, Barbados",13.096851,-59.614482,"Willemstad, Curacao",12.104742,-68.93267,1693,1713,Mikve Israel,
21,Eliau Lopez,22,,,,"Amsterdam, Netherlands",52.370216,4.895168,,,,
22,Isaac Aboab de Fonseca,,"Amsterdam, Netherlands",52.370216,4.895168,"Amsterdam, Netherlands",52.370216,4.895168,1626,1638,Beth Israel,
22,Isaac Aboab de Fonseca,,"Amsterdam, Netherlands",52.370216,4.895168,"Amsterdam, Netherlands",52.370216,4.895168,1638,1642,Talmud Torah,
22,Isaac Aboab de Fonseca,,"Amsterdam, Netherlands",52.370216,4.895168,"Recife, Brazil",-8.054074,-34.870849,1642,1654,Zur Israel,
22,Isaac Aboab de Fonseca,,"Recife, Brazil",-8.054074,-34.870849,"Amsterdam, Netherlands",52.370216,4.895168,1654,1693,Talmud Torah,
22,Isaac Aboab de Fonseca,50,,,,"Amsterdam, Netherlands",52.370216,4.895168,,,,
24,Meir Cohen Belinfante,,"Amsterdam, Netherlands",52.370216,4.895168,"Bridgetown, Barbados",13.096851,-59.614482,,1752,Nidhe Israel,
24,Meir Cohen Belinfante,,,,,"Amsterdam, Netherlands",52.370216,4.895168,,,,
25,Haim Isaac Carigal,,"New York, United States",40.712775,-74.005973,"Newport, United States",41.490102,-71.312829,1773,1773,Jeshuat Israel,
25,Haim Isaac Carigal,,"Constantinople, Ottoman Empire",41.013889,28.955556,"Willemstad, Curacao",12.104742,-68.93267,1762,1764,Mikve Israel,haham
25,Haim Isaac Carigal,,"Paramaribo, Suriname",5.852035,-55.203828,"Bridgetown, Barbados",13.096851,-59.614482,1775,1777,Nidhe Israel,haham
25,Haim Isaac Carigal,,"London, England",51.507351,-0.127758,"Kingston, Jamaica",18.017874,-76.809904,1771,1772,Kahal Kadosh Shaar Ha Shamaim,
25,Haim Isaac Carigal,,,,,"Port Royal, Jamaica",17.936767,-76.841104,1771,1772,Kahal Kadosh Neve Zedek,
25,Haim Isaac Carigal,,,,,"Spanish Town, Jamaica",18.019317,-76.975827,1771,1772,Kahal Kadosh Neve Shalom,
