idbuildings,building_name,number,lat,lon,loc_def,footprint_type,parent_id,congregation_name,rite,year_add,dim_length,dim_width,dim_sq,dim,dim_unit,city,country,region
137,Neveh Shalom,p137a,52.368346,4.902987,exact,repurposed tenement w/ upstairs prayer hall,NULL,Neveh Shalom,sephardic,1612,60,30,1800,18,feet,Amsterdam,Netherlands,Western Europe
136,Beth Jacob,p136a,52.36859,4.900492,exact,repurposed tenement w/ upstairs prayer hall,NULL,Beth Jacob,sephardic,1614,94,23,2162,21.6,feet,Amsterdam,Netherlands,Western Europe
138,Beth Israel,p138a,52.368577,4.902246,exact,repurposed tenement w/ upstairs prayer hall,NULL,Beth Israel,sephardic,1618,10,10,100,1,feet,Amsterdam,Netherlands,Western Europe
6,"Talmud Torah, Portuguese Synagogue I",p6a,52.368346,4.902987,exact,rectangular basilica,138,Talmud Torah,sephardic,1639,78,59,4602,46,feet,Amsterdam,Netherlands,Western Europe
38,Kahal Kadosh Zur Israel Synagogue,p38a,-8.06131,-34.87132,exact,repurposed tenement w/ upstairs prayer hall,NULL,Zur Israel,sephardic,1641,10,10,1200,1,feet,Recife,Brazil,South America
146,High German synagogue,p146a,52.367887,4.901825,exact,repurposed tenement w/ upstairs prayer hall,NULL,High German Congregation,ashkenazi,1648,63,24.7,1556.1,15.57,feet,Amsterdam,Netherlands,Western Europe
13,Nidhe Israel,p13a,13.099444,-59.615278,exact,modified square basilica,NULL,Nidhe Israel,sephardic,1654,50,40,2000,20,feet,Bridgetown,Barbados,Caribbean
1,Creechurch Lane Synagogue,p1a,51.513685,-0.079298,exact,repurposed tenement w/ upstairs prayer hall,NULL,Kahal Kadosh Sha'ar Hashamayim,sephardic,1657,10,10,756,1,feet,London,England,Western Europe
7,Grote Sjoel (Great Synagogue),p7a,52.367274,4.903893,exact,modified square basilica,146,High German Congregation,ashkenazi,1671,61,56,3416,34.2,feet,Amsterdam,Netherlands,Western Europe
4,"Esnoga, Talmud Torah II",p4a,52.36753,4.905336,exact,rectangular basilica,NULL,Talmud Torah,sephardic,1675,130,100,13000,130,feet,Amsterdam,Netherlands,Western Europe
2,Creechurch Lane Synagogue [1675],p2a,51.513685,-0.079298,exact,repurposed tenement w/ upstairs prayer hall,1,Kahal Kadosh Sha'ar Hashamayim,sephardic,1675,10,10,1104,1,feet,London,England,Western Europe
17,Berakha ve Shalom Synagogue,p17a,5.429176,-54.984273,exact,rectangular basilica,NULL,Berakha ve Shalom,sephardic,1685,94,43,4042,40.4,feet,Jodensavanne,Suriname,South America
9,Obbene Shul Synagogue,p9a,52.367139,4.903745,exact,rectangular basilica,NULL,High German Congregation,ashkenazi,1686,10,10,100,1,feet,Amsterdam,Netherlands,Western Europe
